grid,dofs,total_inner_iters,walltime_s_median,walltime_min,walltime_max
16x16x10,9664,1789,2.409915900003398,2.354777799999283,2.456394500004535
24x24x15,33264,4285,12.239169699998456,12.021235899999738,12.373329399997601
32x32x20,79616,5569,30.881432100002712,30.324659999998403,49.02636730000086
48x48x30,271296,50000,743.1695412000045,714.8969096000001,816.0412047000063
